Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
5/3/18-4:33:55,844,166,362,46.30,22.90,0.70,1.40
5/3/18-4:34:56,844,173,364,46.70,22.80,1.10,3.00
5/3/18-4:35:57,844,168,367,47.50,22.90,1.20,3.30
5/3/18-4:36:58,845,163,366,48.00,22.80,1.00,3.20
5/3/18-4:37:59,843,159,362,47.90,22.80,0.90,2.00
5/3/18-4:39:0,843,152,358,47.80,22.80,0.90,2.40
5/3/18-4:40:1,845,149,355,47.20,22.80,0.80,1.80
5/3/18-4:41:2,843,201,390,48.20,22.80,0.70,3.00
5/3/18-4:42:3,844,206,380,48.20,22.80,0.90,2.70
5/3/18-4:43:4,843,244,394,48.30,22.80,0.90,3.50
5/3/18-4:44:5,844,239,376,48.60,22.80,0.70,2.10
5/3/18-4:45:6,844,236,386,48.70,22.90,0.80,6.50
5/3/18-4:46:7,845,223,366,48.60,22.90,1.00,1.90
5/3/18-4:47:7,846,206,366,48.00,22.90,0.70,1.80
5/3/18-4:48:8,845,178,356,47.80,22.90,0.80,1.70
5/3/18-4:49:9,845,166,357,47.60,23.00,0.70,1.90
5/3/18-4:50:10,844,175,356,47.10,22.90,1.10,3.40
5/3/18-4:51:11,847,170,360,46.90,22.90,1.20,4.20
5/3/18-4:52:12,846,193,385,48.10,22.90,0.90,2.90
5/3/18-4:53:13,846,185,359,48.50,22.90,1.10,6.70
5/3/18-4:54:14,846,174,365,47.00,22.90,0.80,1.70
5/3/18-4:55:15,845,181,361,46.20,22.80,0.80,2.70
5/3/18-4:56:16,846,176,365,45.10,22.80,0.60,3.10
5/3/18-4:57:17,846,167,365,45.10,22.80,0.70,1.50
5/3/18-4:58:18,847,150,351,43.70,22.70,0.90,4.10
5/3/18-4:59:19,847,162,356,40.90,22.70,0.90,4.70
5/3/18-5:0:20,846,188,386,43.00,22.60,0.90,3.90
5/3/18-5:1:21,847,171,346,42.80,22.60,0.70,3.20
5/3/18-5:2:22,847,163,348,40.50,22.60,0.70,4.90
5/3/18-5:3:23,846,158,346,38.20,22.50,1.70,6.50
5/3/18-5:4:24,846,141,353,38.50,22.50,0.40,1.40
5/3/18-5:5:25,847,150,357,37.70,22.50,0.80,4.10
5/3/18-5:6:26,847,161,351,37.70,22.40,1.10,4.30
5/3/18-5:7:27,847,169,348,37.40,22.50,0.70,4.70
5/3/18-5:8:28,846,169,353,36.60,22.40,0.60,3.70
5/3/18-5:9:29,847,150,350,36.50,22.50,0.50,4.20
5/3/18-5:10:30,846,158,368,35.20,22.40,0.80,3.00
5/3/18-5:11:31,847,161,348,35.60,22.40,0.60,4.80
5/3/18-5:12:32,847,166,360,36.10,22.30,0.40,2.70
5/3/18-5:13:33,847,188,390,36.40,22.40,0.50,2.80
5/3/18-5:14:34,847,194,353,36.20,22.40,0.60,2.00
5/3/18-5:15:35,846,194,358,35.60,22.40,0.40,3.00
5/3/18-5:16:36,847,205,383,35.60,22.40,0.60,4.70
5/3/18-5:17:37,847,196,357,35.60,22.40,0.70,2.50
5/3/18-5:18:38,846,192,359,36.00,22.40,0.70,4.10
5/3/18-5:19:39,847,185,355,36.20,22.40,0.50,5.60
5/3/18-5:20:40,846,191,359,36.10,22.50,0.50,3.00
5/3/18-5:21:41,847,165,349,36.00,22.50,0.80,3.80
5/3/18-5:22:42,847,195,392,36.50,22.50,0.90,6.10
5/3/18-5:23:43,846,214,377,37.50,22.50,0.70,1.90
5/3/18-5:24:44,846,231,391,38.20,22.50,0.90,3.40
5/3/18-5:25:45,847,207,377,38.50,22.60,0.80,2.30
5/3/18-5:26:46,846,239,407,38.20,22.60,0.90,3.00
5/3/18-5:27:47,846,250,408,39.90,22.60,0.90,3.60
5/3/18-5:28:48,846,256,387,40.50,22.70,0.90,2.10
5/3/18-5:29:49,847,238,367,40.30,22.70,0.80,4.20
5/3/18-5:30:50,846,222,367,40.10,22.80,2.00,5.20
5/3/18-5:31:51,846,234,381,40.00,22.80,1.10,4.80
5/3/18-5:32:52,846,229,383,40.80,22.90,0.90,2.60
5/3/18-5:33:53,847,224,369,40.50,22.90,1.00,4.30
5/3/18-5:34:54,848,233,375,40.80,22.90,0.90,5.50
5/3/18-5:35:54,847,222,367,41.10,22.90,0.70,2.10
5/3/18-5:36:55,846,196,353,40.90,22.90,1.00,3.90
5/3/18-5:37:56,846,199,369,39.90,22.90,1.30,7.30
5/3/18-5:38:57,847,211,365,42.00,22.90,1.10,7.30
5/3/18-5:39:58,847,222,379,40.90,22.90,0.80,2.80
5/3/18-5:40:59,847,209,366,42.50,22.90,0.90,2.90
5/3/18-5:42:0,846,183,354,39.70,22.90,1.20,3.80
5/3/18-5:43:1,846,161,342,39.60,22.80,0.60,1.90
5/3/18-5:44:2,847,135,345,34.90,22.80,0.80,6.90
5/3/18-5:45:3,846,144,345,30.00,22.60,0.70,3.70
5/3/18-5:46:4,846,151,369,29.50,22.50,0.60,2.10
5/3/18-5:47:5,846,161,362,29.40,22.40,0.40,3.30
5/3/18-5:48:6,847,161,379,30.40,22.40,0.50,2.30
5/3/18-5:49:7,847,176,359,30.50,22.40,0.50,1.50
5/3/18-5:50:8,847,165,353,30.00,22.40,1.00,9.60
5/3/18-5:51:9,849,146,348,29.50,22.30,0.60,4.50
5/3/18-5:52:10,846,153,361,28.70,22.20,0.40,1.70
5/3/18-5:53:11,848,151,371,28.30,22.20,0.50,3.60
